,initial_tweets,final_tweets
0,"अमेरिकामा,कोभिड,बाट,एकै,दिन,चार,हजारभन्दा,बढीको,मृत्यु","कोभिड,मृत्यु,बाट,दिन,अमेरिकामा,एकै,चार,बढीको,हजारभन्दा"
1,"कोभिड,का,कारण,विदेशमा,रहेका,नेपालीहरुमा,मानसिक,स्वास्थ्य,सम्बन्धि,समस्या,देखिएको,र,आत्महत्याका,घटनाहरु,बढेको,डा,सापकोटाले,बताए","कोभिड,र,स्वास्थ्य,का,कारण,देखिएको,डा,रहेका,समस्या,विदेशमा,बताए,बढेको,मानसिक,सम्बन्धि,नेपालीहरुमा,सापकोटाले,आत्महत्याका,घटनाहरु"
2,"नेपालमा,क्लोभर,बायोफार्मास्युटिकल्स,अस्ट्रेलिया,तथा,भ्याक्जाइन,पीटीवाई,लिमिटेड,अस्ट्रेलियाले,उत्पादन,गरेका,कोभिड,खोपको,तेस्रो,चरणका,ट्रायल,गर्न,तयारी,भइरहेको,छ","कोभिड,छ,तथा,नेपालमा,गर्न,तयारी,गरेका,खोपको,भइरहेको,उत्पादन,तेस्रो,अस्ट्रेलिया,ट्रायल,अस्ट्रेलियाले,लिमिटेड,चरणका,भ्याक्जाइन,पीटीवाई,क्लोभर,बायोफार्मास्युटिकल्स"
3,"कोभिड,को,खोप,पनि,लगाइयो","कोभिड,को,पनि,खोप,लगाइयो"
4,"अमेरिकामा,कोभिड,को,नयाँ,रेकर्ड,एकै,दिन,हजारभन्दा,बढीको,मृत्यु,विश्व,समाचार","कोभिड,को,मृत्यु,नयाँ,विश्व,दिन,अमेरिकामा,समाचार,एकै,बढीको,हजारभन्दा,रेकर्ड"
5,"गण्डकी,प्रदेश,सरकारले,कोभिड,बाट,प्रभावीतहरुको,लागि,भनेर,स्थापित,व्यवसाय,जीवन,रक्षा,कोषमा,अर्ब,छुट्याइएकोमा,महिना,लागि,सक्दा,पनि,कार्यविधि,समेत,बनेको,छैन,यसबाट,बजेट,कार्यन्वयनको,पक्ष,कस्तो,छ,अनुमान,लगाउन,सकिन्छ","कोभिड,छ,पनि,लागि,लागि,बाट,सरकारले,प्रदेश,छैन,भनेर,कोषमा,समेत,अर्ब,महिना,जीवन,बजेट,कस्तो,बनेको,सकिन्छ,लगाउन,गण्डकी,व्यवसाय,अनुमान,रक्षा,यसबाट,पक्ष,कार्यविधि,स्थापित,सक्दा,कार्यन्वयनको,छुट्याइएकोमा,प्रभावीतहरुको"
6,"नेपालको,संचार,अमेरिकामा,कोभिड,को,नयाँ,रेकर्ड,एकै,दिन,हजारभन्दा,बढीको,मृत्यु","कोभिड,को,मृत्यु,नयाँ,दिन,अमेरिकामा,नेपालको,एकै,बढीको,हजारभन्दा,रेकर्ड,संचार"
7,"रामेछापमा,कोभिड,सङ्क्रमितको,संख्या,पुग्यो","कोभिड,संख्या,पुग्यो,सङ्क्रमितको,रामेछापमा"
8,"कोरोना,भाइरस,भारत,माघ,गतेदेखि,कोभिड,विरुद्ध,राष्ट्रव्यापी,खोप,अभियान","कोभिड,कोरोना,भाइरस,खोप,विरुद्ध,भारत,अभियान,गतेदेखि,माघ,राष्ट्रव्यापी"
9,"स्वास्थ्य,मन्त्रालयले,माग्यो,कोभिड,को,रोकथामका,लागि,खटिएका,स्वास्थ्यकर्मी,तथा,कर्मचारीको,विवरण","कोभिड,को,स्वास्थ्य,लागि,तथा,मन्त्रालयले,विवरण,रोकथामका,स्वास्थ्यकर्मी,खटिएका,कर्मचारीको,माग्यो"
10,"अमेरिकामा,कोभिड,को,नयाँ,रेकर्ड,एकै,दिन,हजार,भन्दा,बढीको,ज्यान,गयो","कोभिड,को,हजार,नयाँ,दिन,भन्दा,ज्यान,अमेरिकामा,एकै,बढीको,गयो,रेकर्ड"
11,"भारतमा,जनवरी,देखि,कोभिड,विरुद्ध,खोप,अभियान","कोभिड,खोप,भारतमा,विरुद्ध,देखि,अभियान,जनवरी"
