,Unnamed: 0,Label,Datetime,Tweet,Tokanize_tweet
0,0,-1,2021-01-10 22:06:41+00:00,अमेरिकामा कोभिड बाट एकै दिन चार हजारभन्दा बढीको मृत्यु,"अमेरिकामा,कोभिड,बाट,एकै,दिन,चार,हजारभन्दा,बढीको,मृत्यु"
1,1,-1,2021-01-10 17:49:34+00:00,कोभिड का कारण विदेशमा रहेका नेपालीहरुमा मानसिक स्वास्थ्य सम्बन्धि समस्या देखिएको र आत्महत्याका घटनाहरु बढेको डा सापकोटाले बताए,"कोभिड,का,कारण,विदेशमा,रहेका,नेपालीहरुमा,मानसिक,स्वास्थ्य,सम्बन्धि,समस्या,देखिएको,र,आत्महत्याका,घटनाहरु,बढेको,डा,सापकोटाले,बताए"
2,2,1,2021-01-10 16:18:34+00:00,नेपालमा क्लोभर बायोफार्मास्युटिकल्स अस्ट्रेलिया तथा भ्याक्जाइन पीटीवाई लिमिटेड अस्ट्रेलियाले उत्पादन गरेका कोभिड खोपको तेस्रो चरणका ट्रायल गर्न तयारी भइरहेको छ,"नेपालमा,क्लोभर,बायोफार्मास्युटिकल्स,अस्ट्रेलिया,तथा,भ्याक्जाइन,पीटीवाई,लिमिटेड,अस्ट्रेलियाले,उत्पादन,गरेका,कोभिड,खोपको,तेस्रो,चरणका,ट्रायल,गर्न,तयारी,भइरहेको,छ"
3,3,0,2021-01-10 15:12:17+00:00,कोभिड को खोप पनि लगाइयो,"कोभिड,को,खोप,पनि,लगाइयो"
4,4,-1,2021-01-10 15:07:12+00:00,अमेरिकामा कोभिड को नयाँ रेकर्ड एकै दिन हजारभन्दा बढीको मृत्यु विश्व समाचार,"अमेरिकामा,कोभिड,को,नयाँ,रेकर्ड,एकै,दिन,हजारभन्दा,बढीको,मृत्यु,विश्व,समाचार"
5,5,-1,2021-01-10 14:27:54+00:00,गण्डकी प्रदेश सरकारले कोभिड बाट प्रभावीतहरुको लागि भनेर स्थापित व्यवसाय जीवन रक्षा कोषमा अर्ब छुट्याइएकोमा महिना लागि सक्दा पनि कार्यविधि समेत बनेको छैन यसबाट बजेट कार्यन्वयनको पक्ष कस्तो छ अनुमान लगाउन सकिन्छ,"गण्डकी,प्रदेश,सरकारले,कोभिड,बाट,प्रभावीतहरुको,लागि,भनेर,स्थापित,व्यवसाय,जीवन,रक्षा,कोषमा,अर्ब,छुट्याइएकोमा,महिना,लागि,सक्दा,पनि,कार्यविधि,समेत,बनेको,छैन,यसबाट,बजेट,कार्यन्वयनको,पक्ष,कस्तो,छ,अनुमान,लगाउन,सकिन्छ"
6,6,-1,2021-01-10 12:42:42+00:00,नेपालको संचार अमेरिकामा कोभिड को नयाँ रेकर्ड एकै दिन हजारभन्दा बढीको मृत्यु,"नेपालको,संचार,अमेरिकामा,कोभिड,को,नयाँ,रेकर्ड,एकै,दिन,हजारभन्दा,बढीको,मृत्यु"
7,7,0,2021-01-10 12:34:29+00:00,रामेछापमा कोभिड सङ्क्रमितको संख्या पुग्यो,"रामेछापमा,कोभिड,सङ्क्रमितको,संख्या,पुग्यो"
8,8,1,2021-01-10 10:38:00+00:00,कोरोना भाइरस भारत माघ गतेदेखि कोभिड विरुद्ध राष्ट्रव्यापी खोप अभियान,"कोरोना,भाइरस,भारत,माघ,गतेदेखि,कोभिड,विरुद्ध,राष्ट्रव्यापी,खोप,अभियान"
9,9,0,2021-01-10 10:35:07+00:00,स्वास्थ्य मन्त्रालयले माग्यो कोभिड को रोकथामका लागि खटिएका स्वास्थ्यकर्मी तथा कर्मचारीको विवरण,"स्वास्थ्य,मन्त्रालयले,माग्यो,कोभिड,को,रोकथामका,लागि,खटिएका,स्वास्थ्यकर्मी,तथा,कर्मचारीको,विवरण"
10,10,-1,2021-01-10 09:25:10+00:00,अमेरिकामा कोभिड को नयाँ रेकर्ड एकै दिन हजार भन्दा बढीको ज्यान गयो,"अमेरिकामा,कोभिड,को,नयाँ,रेकर्ड,एकै,दिन,हजार,भन्दा,बढीको,ज्यान,गयो"
11,11,1,2021-01-10 09:18:44+00:00,भारतमा जनवरी देखि कोभिड विरुद्ध खोप अभियान,"भारतमा,जनवरी,देखि,कोभिड,विरुद्ध,खोप,अभियान"
