,words,count
0,कोभिड,32801
1,कोरोना,7702
2,भाइरस,4563
3,संक्रमण,3167
4,मृत्यु,2906
5,स्वास्थ्य,2461
6,संक्रमित,2067
7,संख्या,1988
8,हजार,1908
9,नेपालमा,1902
10,नेपाल,1862
11,पुष्टि,1836
12,सरकारले,1716
13,परीक्षण,1540
14,जनामा,1468
15,नेपाली,1466
16,लाख,1335
17,संक्रमितको,1093
18,महामारी,1052
19,उपचार,1010
20,जनाको,966
21,खोप,939
22,रोकथाम,933
23,सरकार,930
24,लकडाउन,912
25,सङ्क्रमण,848
26,बढी,830
27,विश्व,817
28,नियन्त्रण,784
29,प्रदेश,766
30,सहयोग,753
31,विरुद्धको,748
32,जोखिम,744
33,रुपमा,726
34,देखिएको,691
35,अस्पताल,689
36,काठमाडौं,635
37,निको,602
38,घर,595
39,भारतमा,593
40,ज्यान,572
41,संक्रमणबाट,571
42,जानकारी,569
43,हुनेको,569
44,जारी,568
45,महामारीको,567
46,विश्वभर,567
47,अस्पतालमा,549
48,घण्टामा,546
49,मन्त्रालयले,542
50,सरकारको,541
51,फैलिएको,536
52,कोभीड,534
53,सङ्क्रमित,534
54,सेवा,531
55,अवस्था,510
56,डा,509
57,देश,502
58,संक्रमणको,494
59,तयारी,487
60,शुभकामना,477
61,सुरक्षित,471
62,व्यवस्थापन,466
63,महामारीका,460
64,कम,450
65,प्रधानमन्त्री,446
66,रिपोर्ट,445
67,नियन्त्रणका,441
68,अवस्थामा,441
69,विभिन्न,437
70,रोग,434
71,उच्च,430
72,जनसंख्या,425
73,प्रभावित,422
74,विश्वव्यापी,422
75,सामाजिक,421
76,स्थानीय,419
77,आर्थिक,419
78,आवश्यक,417
79,आग्रह,415
80,हार्दिक,415
81,अमेरिकामा,406
82,सङ्ख्या,402
83,जनाएको,401
84,भाइरसको,400
85,प्रभाव,397
86,कोरोनाभाइरस,393
87,सामग्री,391
88,घोषणा,389
89,उपचारमा,389
90,जिल्ला,387
91,सार्वजनिक,387
92,अपडेट,376
93,प्रतिशत,373
94,विकास,372
95,राष्ट्रिय,369
96,राहत,363
97,क्षेत्रमा,353
98,नेपालीको,348
99,भाईरस,343
100,समस्या,342
101,बिरामी,342
102,सुरक्षा,341
103,औषधि,341
104,देशमा,340
105,पोजेटिभ,330
106,सबैभन्दा,329
107,नेपालको,327
108,प्रमुख,327
109,समयमा,325
110,सरकारलाई,324
111,नियन्त्रणमा,322
112,सङ्क्रमितको,320
113,कार्यक्रम,319
114,नाघ्यो,316
115,नेगेटिभ,314
116,गते,313
117,खर्च,307
118,उपलब्ध,305
119,सम्बन्धी,304
120,हालसम्म,299
121,सूचना,297
122,विश्वमा,294
123,संकट,293
124,दैनिक,292
125,छलफल,289
126,परिक्षण,287
127,महिला,286
128,लक्षण,279
129,कुल,279
130,नागरिक,277
131,समाचार,274
132,भएपछि,272
133,रोक्न,272
134,सञ्चालन,271
135,वर्षीय,271
136,भारत,270
137,तयार,270
138,प्रभावकारी,269
139,केन्द्र,269
140,पोजिटिभ,269
141,बताएका,268
142,जिल्लामा,267
143,निधन,265
144,पुन,264
145,अमेरिकी,262
146,थपिए,262
147,माग,260
148,परीक्षणको,260
149,सरकारी,259
150,वटा,258
151,दक्षिण,257
152,मन्त्री,256
153,जनता,255
154,उच्चस्तरीय,255
155,सम्पूर्ण,254
156,व्यवस्था,253
157,सफल,252
158,नदिन,252
159,मास्क,251
160,निर्देशन,251
161,व्यक्तिको,250
162,परीक्षणमा,250
163,विदेशमा,249
164,शुरु,249
165,उपत्यकामा,248
166,क्वारेन्टाइनमा,247
167,निर्माण,246
168,प्रदान,245
169,भ्याक्सिन,241
170,मन्त्रालय,241
171,अनुरोध,241
172,कोषमा,239
173,लड्न,239
174,अन्तर्राष्ट्रिय,238
175,विषयमा,237
176,बारेमा,235
177,स्थगित,235
178,निजी,233
179,मानव,233
180,उपचारका,233
181,प्रदेशमा,231
182,सामान्य,230
183,कामना,229
184,पीसीआर,229
185,मन्त्रालयका,226
186,पारेको,225
187,व्यक्ति,225
188,रोकथामका,224
189,अहिलेसम्म,224
190,विवरण,223
191,खबर,223
192,भारतीय,223
193,बैठकले,221
194,खोपको,219
195,सहित,219
196,लकडाउनको,219
197,स्वास्थ्यकर्मी,217
198,प्रयोगशालामा,217
